DOY,ISAMDYN,Measured
120,25.56421131,30.54739703
121,24.79861607,30.3105254
122,23.98193452,30.72810415
123,24.18546131,29.31388783
124,25.89136905,27.61184
125,23.61662202,27.09011077
126,24.06846726,27.09732641
127,27.27005952,30.49048709
128,30.28921131,35.51938991
129,31.04595238,29.50077131
130,28.52122024,27.59650382
131,26.02309524,29.64249193
132,28.69264881,29.35287293
133,35.95141369,39.64404565
134,31.3759375,35.82217532
135,30.45550595,33.83630465
136,34.43293155,39.41163529
137,34.23352679,34.52691509
138,36.34397321,41.89998358
139,36.74863095,42.52748592
140,32.58991071,36.70378978
141,31.88702381,36.04837275
142,33.88700893,42.58683305
143,35.32800595,38.55030436
144,37.594375,42.12530685
145,34.20047619,42.26369696
146,33.38400298,45.48046124
147,36.0664881,48.2214259
148,33.51526786,49.30409339
149,33.92747024,46.87803547
150,37.82876488,51.09987904
151,43.13026786,46.69872419
152,46.30986607,50.23539198
153,47.25534226,49.59916311
154,46.22416667,47.28273852
155,44.38043155,43.50495697
156,50.34233631,46.409196
157,45.0014881,46.04083534
158,44.22791667,46.19899188
159,46.92325893,48.13306221
160,52.8499256,51.51344673
161,50.58970238,48.19300397
162,49.86452381,46.49145463
163,49.23302083,49.61598247
164,52.45833333,55.20564508
165,44.05714286,50.0638048
166,45.5110119,50.01216287
167,41.29019345,49.15739753
168,44.12354167,50.65854715
169,50.47105655,63.32726668
170,47.70014881,59.27694994
171,44.5916369,54.43465891
172,51.92404762,63.76005066
173,47.9734375,60.86273944
174,49.03116071,54.66595741
175,48.18188988,58.42452136
176,50.3666369,58.2259627
177,52.43561012,60.85520062
178,53.54696429,67.52214618
179,60.0524256,63.6656397
180,52.32449405,52.99721821
181,55.13452381,61.99108281
182,54.25971726,61.39415282
183,57.95760417,66.21310746
184,53.39708333,59.15734975
185,47.18630952,51.2767918
186,44.85404762,57.79272692
187,49.68297619,54.98709212
188,57.60308036,56.98950203
189,57.03105655,59.08568941
190,52.30236607,53.0350333
191,51.27001488,59.3619607
192,52.0256994,61.99445172
193,59.3775744,66.51876302
194,55.34327381,65.37413557
195,54.1939881,59.15357059
196,57.42403274,64.15621945
197,57.50727679,59.03318118
198,53.09025298,55.40531164
199,53.83334821,63.68240705
200,55.43284226,58.31735711
201,53.60235119,55.19213324
202,59.86175595,65.28802742
203,57.73434524,59.46777483
204,59.52190476,58.91080735
205,54.02970238,57.29842474
206,51.86571429,57.92263412
207,46.77636905,57.53859469
208,44.73949405,55.70246081
209,46.92727679,57.57238883
210,46.72769345,50.6124284
211,51.30723214,56.71004701
212,44.21791667,51.70930662
213,51.81563988,57.78141127
