DOY,ISAMDYN,Measured
74,16.143125,13.04957575
75,20.691875,36.29816605
76,30.079375,48.692831
77,19.02375,52.90100104
78,14.031875,45.9175826
79,34.545625,53.87958002
80,28.53625,41.71444086
81,45.894375,60.30135657
82,35.75625,48.48473514
83,23.860625,54.13224449
84,30.45,50.46475852
85,0.344375,30.58375982
86,37.354375,30.28080383
87,26.835,34.46364248
88,42.049375,56.78185095
89,22.64875,43.63215514
90,43.85875,59.19174008
91,41.294375,66.6652651
92,57.983125,72.73770229
93,18.660625,20.3919722
94,51.344375,39.25570541
95,28.84125,33.33637254
96,85.025625,57.62440476
97,77.91625,60.249245
98,24.215,28.61718027
99,43.390625,43.79918819
100,11.6525,35.64968712
101,24.05375,68.83747597
102,60.404375,98.25749677
103,19.041875,23.78695163
104,47.465625,64.33017663
105,64.635625,108.7448013
106,50.10875,68.04390983
107,55.25125,72.74481532
108,28.6075,65.2897561
109,51.775,67.7770526
110,54.44,92.85157435
111,30.991875,59.36229541
112,67.379375,95.41607554
113,28.725,65.92310593
114,8.18875,25.77858484
115,54.325625,99.83788262
116,46.48,76.4331458
117,45.069375,97.55824946
118,21.0125,49.78487363
119,19.52375,48.83514368
120,18.589375,66.10872044
121,37.580625,93.55750282
122,24.11125,61.63007072
123,49.4525,94.21130439
124,22.095625,49.63421833
125,19.029375,65.35921643
126,19.67625,46.81001878
127,50.444375,81.38379972
128,63.876875,105.7053433
129,32.52375,74.66260955
130,29.48625,89.14757402
131,49.60625,94.28449957
132,38.341875,81.02853962
133,52.389375,91.22110608
134,14.651875,53.19975041
135,55.19875,88.76344821
136,56.96875,102.8831306
137,58.298125,129.0465434
138,41.32,65.34267297
139,34.31375,76.12982238
140,5.631875,60.4160731
141,13.438125,37.18605467
142,23.69625,56.45456017
143,78.039375,91.77054094
144,73.295625,70.94548523
145,56.853125,71.61964549
146,21.71125,36.19740903
147,22.825625,43.13344546
148,64.295,81.80593966
149,18.271875,65.09009954
150,88.205,112.5663481
151,69.0325,95.0212912
152,61.85875,95.7937376
153,71.338125,85.05230046
154,52.058125,63.1798342
155,66.934375,79.60539755
156,77.065625,77.90761298
157,75.855,76.30551053
158,63.948125,69.18147973
159,69.45375,72.42190269
160,38.80625,48.80876637
