DOY,ISAMDYN,ISAMBC,Measured
339,1.38625,2.95375,2.129534371
340,3.58375,5.0825,1.488016568
341,1.90875,3.81125,2.391671881
342,3.1525,5.63875,1.072336796
343,2.665,4.3975,2.524018642
344,0.1175,1.7925,1.295332524
345,1.4775,3.31,2.285512594
346,1.25,3.2375,0.730608472
347,2.36375,3.4275,1.650154713
348,1.97875,4.20875,1.887879234
349,0.03625,1.5775,3.370632344
350,2.35375,4.20875,5.623866875
351,0.53625,2.1675,5.5856779
352,2.87,6.0425,1.239304323
353,3.21625,6.61875,2.585093175
354,3.105,5.005,1.824981654
355,2.82,4.7125,1.322626818
356,3.84125,6.35125,2.521872479
357,0.3875,2.17875,0.787784008
358,-1.4425,0.30625,3.433274388
359,1.89,7.4225,5.760940486
360,1.83125,3.765,1.209574271
361,0.82125,2.45,1.943533578
362,0.44125,2.43875,1.63374526
363,2.43875,3.79625,4.546813333
364,4.46625,6.50125,2.566473264
365,2.535,4.35,0.917471931
